CustomerID,Gender,Age,Annual Income ($),Profession,Family Size
C1,Male,19,15000,Healthcare,4
C2,Male,21,35000,Engineer,3
C3,Female,20,86000,Engineer,1
C4,Female,23,59000,Lawyer,2
C5,Female,31,38000,Entertainment,6
C6,Female,22,58000,Artist,2
C7,Female,35,31000,Healthcare,3
C8,Female,23,84000,Healthcare,3
C9,Male,64,97000,Engineer,3
C10,Female,30,98000,Artist,4
C11,Male,67,7000,Engineer,3
C12,Female,35,93000,Healthcare,4
C13,Female,58,80000,Executive,5
C14,Female,24,91000,Lawyer,1
C15,Male,37,19000,Doctor,1
C16,Male,22,51000,Healthcare,2
C17,Female,35,29000,Homemaker,5
C18,Male,20,89000,Healthcare,6
C19,Male,52,20000,Entertainment,4
C20,Female,35,62000,Artist,1
C21,Male,35,96000,Homemaker,1
C22,Male,25,4000,Healthcare,4
C23,Female,46,42000,Artist,2
C24,Male,31,71000,Artist,2
C25,Female,54,67000,Executive,3
C26,Male,29,52000,Artist,3
C27,Female,45,68000,Healthcare,8
C28,Male,35,78000,Artist,3
C29,Female,40,18000,Artist,1
C30,Female,23,20000,Artist,4
C31,Male,60,39000,Artist,3
C32,Female,21,34000,Doctor,2
C33,Male,53,59000,Healthcare,3
C34,Male,18,62000,Homemaker,7
C35,Female,49,91000,Lawyer,2
C36,Female,21,95000,Healthcare,4
C37,Female,42,14000,Doctor,1
C38,Female,30,62000,Healthcare,5
C39,Female,36,9000,Artist,2
C40,Female,20,69000,Artist,2
C41,Female,65,25000,Artist,1
C42,Male,24,85000,Healthcare,2
C43,Male,48,22000,Artist,3
C44,Female,31,33000,Artist,2
C45,Female,49,72000,Engineer,1
